Timestep,a_0,a_1,b
6,-64.92930253121008,-30.791289486139252,1.2808606388860303e11
6,-83.69990979659072,-30.820807835639666,1.2809515942176178e11
6,-86.70190035162167,-36.493237000649614,1.281103042487545e11
6,-87.00000000000007,-34.54854431423843,1.2810680107875958e11
6,-80.11217066804431,-29.929172586773127,1.2809823671349388e11
6,-87.00000000000007,-38.20602394574344,1.28130208109516e11
6,-30.458236162075814,-33.42688048965897,1.280495870397254e11
6,-66.33521127828189,-35.6795622089867,1.281085725762767e11
6,-66.55606155941283,-36.9805627083162,1.2811922477885362e11
6,-81.1461645847509,-34.22401193122432,1.2812490788845111e11
6,-86.84850121536343,-31.72353723287086,1.281174524031672e11
6,-74.87124383121215,-35.15050161254721,1.2812491186410316e11
6,-86.70190035162167,-41.365270665232515,1.2814552600946811e11
6,-87.00000000000007,-37.95380937008113,1.2813906525169897e11
6,-81.38137253894519,-32.30142247604279,1.2811904509044876e11
6,-85.36482539981229,-35.16059544019875,1.2813093151913895e11
6,-79.5406488929001,-33.168706344144645,1.2812393674676233e11
6,-87.00000000000007,-41.21913375571477,1.2814750378243094e11
6,-85.13317513610326,-40.71472201221599,1.281513893364778e11
6,-60.87689493151919,-48.24276871749147,1.2814139006423283e11
6,-63.6447062134364,-32.91891815767412,1.2810918470460553e11
6,-79.18127387102781,-33.00208309948639,1.2812485094881549e11
6,-73.07378491911217,-45.46709635105194,1.2815839998669693e11
6,-87.00000000000007,-44.12974735693685,1.2816177120949106e11
6,-85.68319181186531,-45.5720916742151,1.2816601496312729e11
6,-86.99999821386825,-45.20508971469837,1.2816598321420071e11
6,-86.99999556016198,-42.80973217205677,1.2816154821161333e11
6,-72.478015855893,-40.43584626790147,1.2814931847290714e11
6,-87.00000000000007,-34.68843898339102,1.2813683786560568e11
7,-150.0,-150.0,1.0580373699727524e11
7,0.0,0.0,9.825187707838274e10
7,0.0,0.0,1.1811670287438036e11
7,-102.67012216756358,-127.10317940652563,1.1868883233266423e11
7,-16.1588942249598,0.0,1.2419074267613454e11
7,-77.22732991836534,-58.98247393593026,1.2422619835998016e11
7,-84.81179032231273,-121.15846314511069,1.249731443667245e11
7,-86.34774985573151,-58.655038664629274,1.2459091923444528e11
7,-87.0000000000001,-26.756547362507554,1.2566700120410048e11
7,-17.559313876643003,-26.927460061785368,1.2561446200957654e11
7,-77.35455769092371,-26.756547362507554,1.2586078747553285e11
7,-86.07871048627635,-35.184387952626416,1.2587745629258572e11
7,-83.91674751629459,-26.970678380895734,1.2591799983871434e11
7,-16.160581077819653,-50.45396518557935,1.2594215790937068e11
7,-57.61784508921062,-38.291433889137,1.2595808906937352e11
7,-83.35549043808294,-50.45396518557934,1.260283143923891e11
7,-30.682592829211494,-23.774055893818055,1.2614427870844276e11
7,-86.02455923597654,-23.77405589381805,1.2617185033456425e11
7,-61.761375480257456,-23.866397805069884,1.2617227762835742e11
7,-64.70188912748209,-23.855440889984138,1.2617311040237975e11
7,-85.13067850567559,-72.91863508821703,1.2631310487551343e11
7,-79.97807624220691,-40.178819597180095,1.2623625290987167e11
7,-59.31214319337605,-30.791289486139256,1.263516764523114e11
7,-73.03263463422721,-30.791289486139256,1.263603961366839e11
7,-73.03263463422721,-30.791289486139256,1.2636068197359352e11
7,-76.6773246345829,-30.791289486139252,1.263612516530184e11
7,-75.77193852163555,-30.791289486139252,1.2636186307140965e11
7,-69.35712787442596,-30.791289486139252,1.2636183394776411e11
7,-73.91245068541038,-30.791289486139252,1.2636247779492365e11
7,-76.65447142608502,-30.791289486139252,1.2636281849515765e11
7,-71.13333372897516,-30.791289486139252,1.2636286213838367e11
7,-64.71440312182577,-30.791289486139252,1.2636158009230562e11
7,-74.62966421717317,-30.843298006687593,1.2636296640998358e11
7,-79.47091610720199,-40.81776519435336,1.2638305881287836e11
7,-71.57660747197303,-37.411214659456874,1.2637880281666652e11
7,-83.7103958337521,-25.374886107748246,1.26355998505903e11
7,-83.06397348478788,-41.28253108678124,1.2640387307847208e11
7,-30.45823616207582,-33.426880489658984,1.263476199660395e11
7,-43.8824056433939,-35.02551785571546,1.2636728888243161e11
7,-60.20334169527071,-35.325041398514635,1.2638776036801996e11
