Timestep,Hydro|Reservoir_FR_0,Hydro|Reservoir_ES_0,Hydro|Pumped Storage_ES_0,Hydro|Pumped Storage_FR_0,Battery|Lithium-Ion_FR_0,Battery|Lithium-Ion_PT_0
163,2.301975866796426e6,4.439565290188691e6,0.0,0.0,0.0,0.0
164,2.304683366796426e6,4.439867143051423e6,0.0,0.0,0.0,0.0
165,2.305753366796426e6,4.438698233493951e6,0.0,0.0,0.0,0.0
166,2.306823366796426e6,4.437529323936479e6,0.0,0.0,0.0,0.0
167,2.307710366796426e6,4.434938015984425e6,0.0,0.0,0.0,0.0
168,2.308597366796426e6,4.432346708032372e6,0.0,0.0,0.0,0.0
169,2.309069366796426e6,4.426410221641449e6,0.0,0.0,0.0,0.0
170,2.309541366796426e6,4.420473735250526e6,0.0,0.0,0.0,0.0
171,2.309841366796426e6,4.414211101712458e6,0.0,0.0,0.0,0.0
172,2.310141366796426e6,4.4079484681743905e6,0.0,0.0,0.0,0.0
173,2.310565866796426e6,4.401596547204405e6,0.0,0.0,0.0,0.0
174,2.310990366796426e6,4.395244626234419e6,0.0,0.0,0.0,0.0
175,2.311558866796426e6,4.389479274088005e6,0.0,0.0,0.0,0.0
176,2.312127366796426e6,4.3837139219415905e6,0.0,0.0,0.0,0.0
177,2.313019866796426e6,4.380015201813111e6,0.0,0.0,0.0,0.0
178,2.313912366796426e6,4.376316481684631e6,0.0,0.0,0.0,0.0
179,2.315197366796426e6,4.373240913424745e6,0.0,0.0,0.0,0.0
180,2.316482366796426e6,4.370165345164859e6,0.0,0.0,0.0,0.0
181,2.317315866796426e6,4.367120159433889e6,0.0,0.0,0.0,0.0
182,2.318149366796426e6,4.36407497370292e6,0.0,0.0,0.0,0.0
183,2.318735366796426e6,4.359877732079565e6,0.0,0.0,0.0,0.0
184,2.319321366796426e6,4.3556804904562095e6,0.0,0.0,0.0,0.0
185,2.320576866796426e6,4.352653906273556e6,0.0,0.0,0.0,0.0
186,2.321832366796426e6,4.349627322090902e6,0.0,0.0,0.0,0.0
187,2.323460866796426e6,4.349186973175816e6,0.0,0.0,0.0,0.0
188,2.325089366796426e6,4.34874662426073e6,0.0,0.0,0.0,0.0
189,2.326172366796426e6,4.347415881232907e6,0.0,0.0,0.0,0.0
