Timestep,Import_FR_MW,Import_PT_MW
513,-2800.0,-146.00785962733426
514,-2800.0,-3284.8175598437506
515,-2800.0,-3284.8175598437506
516,-2800.0,-4200.0
517,-2800.0,-4200.0
518,-2800.0,-4200.0
519,-2800.0,-4200.0
520,-2800.0,-4200.0
521,-2800.0,-4200.0
522,-2800.0,-4001.5861027241353
523,-2800.0,-4001.5861027241353
524,-2800.0,-4139.035545592
525,-2800.0,-4139.035545592
526,-2800.0,-3269.077514222
527,-2800.0,-3269.077514222
528,-2800.0,-2333.53834504337
529,-2800.0,-2333.53834504337
530,-2800.0,-2582.5949396507503
531,-2800.0,-2582.5949396507503
532,-2800.0,-2467.9213276822497
533,-2800.0,-2467.9213276822497
534,-2800.0,-2432.33188199475
535,-2800.0,-2432.33188199475
536,-2800.0,-2711.0426298779994
537,-2800.0,-2711.0426298779994
538,-2800.0,-3737.5997863687335
539,-2800.0,-3737.5997863687335
540,-2800.0,-4200.0
541,-2800.0,-4200.0
542,-2800.0,-4200.0
543,-2800.0,-4200.0
544,-2800.0,-3406.30619242175
545,-2800.0,-3406.30619242175
546,-2800.0,-4033.5986041490005
547,-2800.0,-4033.5986041490005
548,-2800.0,-2715.844331196862
549,-2800.0,-2715.844331196862
550,-2800.0,-3294.014853866196
551,-2800.0,-3294.014853866196
552,-2800.0,-2469.350977153499
553,-2800.0,-2469.350977153499
554,-2800.0,-2248.6704101672503
555,-2800.0,-2248.6704101672503
556,-2800.0,-2491.6991987569995
557,-2800.0,-2491.6991987569995
558,-2800.0,-3183.5451539275
559,-2800.0,-3183.5451539275
560,-2800.0,-3251.6873050410595
561,-2800.0,-3251.6873050410595
562,-2800.0,-4200.0
563,-2800.0,-4200.0
564,-2800.0,-4200.0
565,-2800.0,-4200.0
566,-2800.0,-4200.0
567,-2800.0,-4200.0
568,-2800.0,-4200.0
569,-2800.0,-4200.0
570,-2800.0,-3737.602637241678
571,-2800.0,-3737.602637241678
572,-2800.0,-1343.8902419062342
573,-2800.0,-1343.8902419062342
574,-2800.0,-1826.2794546026653
575,-2800.0,-1826.2794546026653
576,-2800.0,-116.85277213680001
577,-2800.0,-116.85277213680001
578,-2800.0,-2419.9791134769994
579,-2800.0,-2419.9791134769994
580,-2800.0,-2512.8560960247505
581,-2800.0,-2512.8560960247505
582,-2800.0,-3110.495608834751
583,-2800.0,-3110.495608834751
584,-2800.0,-4200.0
585,-2800.0,-4200.0
586,-2800.0,-4200.0
587,-2800.0,-4200.0
588,-2800.0,-4200.0
589,-2800.0,-4200.0
590,-2800.0,-4200.0
591,-2800.0,-4200.0
592,-2800.0,-4200.0
593,-2800.0,-4200.0
594,-2800.0,-3819.5519384812496
595,-2800.0,-3819.5519384812496
596,-2800.0,-3352.363749309936
597,-2800.0,-3352.363749309936
598,-2800.0,-4200.0
599,-2800.0,-4200.0
600,-2800.0,-3403.4475595562503
601,-2800.0,-3403.4475595562503
602,-2800.0,-3164.405408809751
603,-2800.0,-3164.405408809751
604,-2800.0,-3387.9564035999992
605,-2800.0,-3387.9564035999992
606,-2800.0,-3469.6578984575
607,-2800.0,-3469.6578984575
608,-2800.0,-2707.04864281
609,-2800.0,-2707.04864281
610,-2800.0,-4200.0
611,-2800.0,-4200.0
612,-2800.0,-4200.0
613,-2800.0,-4200.0
614,-2800.0,-4200.0
615,-2800.0,-4200.0
616,-2800.0,-3900.1025171606416
617,-2800.0,-3900.1025171606416
618,-2800.0,-631.4007628867494
619,-2800.0,-631.4007628867494
620,-2800.0,-829.5801540949997
