Timestep,Turbine_ES_MW,Turbine_FR_MW,Turbine_EU_MW
608,6940.97,8787.34,70364.3
609,6940.97,8787.34,70364.3
610,6940.97,0.0,70364.3
611,6940.97,0.0,70364.3
612,6637.551357095541,0.0,69383.21431519737
613,6637.551357095541,0.0,69383.21431519737
614,6599.646718360829,4474.885127937214,70364.3
615,6599.646718360829,4474.885127937214,70364.3
616,6940.97,8787.34,70364.3
617,6940.97,8787.34,70364.3
618,6940.97,8787.34,70364.3
619,6940.97,8787.34,70364.3
620,6940.97,0.0,61326.27312263087
621,6940.97,0.0,61326.27312263087
622,6940.97,0.0,23396.78654887827
623,6940.97,0.0,23396.78654887827
624,6940.97,0.0,0.0
625,6940.97,0.0,0.0
626,6940.97,0.0,0.0
627,6940.97,0.0,0.0
628,6940.97,0.0,30355.563125695277
629,6940.97,0.0,30355.563125695277
630,6500.977027731171,8787.34,70364.3
631,6500.977027731171,8787.34,70364.3
632,6940.97,8787.34,70364.3
633,6940.97,8787.34,70364.3
634,1166.0867288213308,8787.34,70364.3
635,1166.0867288213308,8787.34,70364.3
636,0.0,8787.34,70364.3
637,0.0,8787.34,70364.3
638,0.0,8787.34,70364.3
639,0.0,8787.34,70364.3
640,0.0,8787.34,70364.3
641,0.0,8787.34,70364.3
642,6940.97,8787.34,70364.3
643,6940.97,8787.34,70364.3
644,6940.97,0.0,70364.3
645,6940.97,0.0,70364.3
646,2939.504246223325,0.0,70364.3
647,2939.504246223325,0.0,70364.3
648,0.0,0.0,56037.11858399553
649,0.0,0.0,56037.11858399553
650,0.0,0.0,53687.692224656086
651,0.0,0.0,53687.692224656086
652,0.0,0.0,70364.3
653,0.0,0.0,70364.3
654,0.0,8787.34,70364.3
655,0.0,8787.34,70364.3
656,410.04749481098224,8787.34,70364.3
657,410.04749481098224,8787.34,70364.3
658,0.0,8787.34,70364.3
659,0.0,8787.34,70364.3
660,0.0,0.0,70364.3
661,0.0,0.0,70364.3
662,0.0,8787.34,70364.3
663,0.0,8787.34,70364.3
664,1887.3634518631088,8787.34,70364.3
665,1887.3634518631088,8787.34,70364.3
666,0.0,8787.34,70364.3
667,0.0,8787.34,70364.3
668,544.1878048705498,8787.34,70364.3
669,544.1878048705498,8787.34,70364.3
670,6940.97,8787.34,70364.3
671,6940.97,8787.34,70364.3
